iter	Passed	Remaining
826	955	199
827	957	198
828	958	197
829	960	196
830	961	195
831	961	194
832	962	192
833	963	191
834	963	190
835	964	189
836	965	188
837	966	186
838	966	185
839	967	184
840	967	183
841	968	181
842	969	180
843	970	179
844	970	178
845	972	176
846	974	175
847	975	174
848	976	173
849	977	172
850	977	171
851	978	169
852	978	168
853	979	167
854	980	166
855	980	164
856	981	163
857	982	162
858	983	161
859	983	160
860	984	158
861	985	157
862	986	156
863	988	155
864	989	154
865	990	153
866	991	152
867	991	150
868	992	149
869	993	148
870	994	147
871	994	146
872	995	144
873	996	143
874	996	142
875	997	141
876	997	139
877	998	138
878	999	137
879	1000	136
880	1002	135
881	1003	134
882	1005	133
883	1005	131
884	1006	130
885	1007	129
886	1007	128
887	1008	127
888	1009	125
889	1009	124
890	1010	123
891	1011	122
892	1012	121
893	1012	120
894	1013	118
895	1014	117
896	1015	116
897	1016	115
898	1017	114
899	1019	113
900	1020	112
901	1020	110
902	1021	109
903	1022	108
904	1022	107
905	1023	106
906	1024	105
907	1025	103
908	1026	102
909	1028	101
910	1029	100
911	1031	99
912	1032	98
913	1033	97
914	1034	96
915	1035	94
916	1035	93
917	1036	92
918	1037	91
919	1037	90
920	1038	89
921	1039	87
922	1039	86
923	1040	85
924	1041	84
925	1043	83
926	1044	82
927	1046	81
928	1047	80
929	1048	78
930	1049	77
931	1050	76
932	1051	75
933	1051	74
934	1052	73
935	1053	72
936	1053	70
937	1054	69
938	1054	68
939	1055	67
940	1057	66
941	1058	65
942	1060	64
943	1062	63
944	1063	61
945	1064	60
946	1064	59
947	1065	58
948	1066	57
949	1067	56
950	1067	55
951	1068	53
952	1069	52
953	1070	51
954	1072	50
955	1073	49
956	1076	48
957	1077	47
958	1078	46
959	1079	44
960	1080	43
961	1080	42
962	1081	41
963	1082	40
964	1083	39
965	1084	38
966	1085	37
967	1086	35
968	1088	34
969	1090	33
970	1091	32
971	1092	31
972	1093	30
973	1093	29
974	1094	28
975	1095	26
976	1096	25
977	1097	24
978	1097	23
979	1098	22
980	1100	21
981	1101	20
982	1102	19
983	1104	17
984	1105	16
985	1106	15
986	1107	14
987	1107	13
988	1108	12
989	1109	11
990	1109	10
991	1110	8
992	1111	7
993	1112	6
994	1113	5
995	1115	4
996	1117	3
997	1118	2
998	1119	1
999	1120	0
